iter	Passed	Remaining
658	2142	1108
659	2145	1105
660	2147	1101
661	2150	1097
662	2152	1094
663	2155	1090
664	2157	1086
665	2159	1083
666	2161	1079
667	2164	1075
668	2166	1072
669	2169	1068
670	2171	1064
671	2174	1061
672	2176	1057
673	2178	1053
674	2181	1050
675	2184	1046
676	2186	1043
677	2189	1039
678	2191	1036
679	2194	1032
680	2196	1029
681	2199	1025
682	2201	1021
683	2204	1018
684	2206	1014
685	2209	1011
686	2212	1007
687	2214	1004
688	2216	1000
689	2218	996
690	2221	993
691	2223	989
692	2226	986
693	2229	982
694	2231	979
695	2233	975
696	2236	972
697	2238	968
698	2241	965
699	2244	961
700	2246	958
701	2249	954
702	2251	951
703	2254	947
704	2256	944
705	2259	940
706	2261	937
707	2263	933
708	2266	930
709	2268	926
710	2271	923
711	2273	919
712	2276	916
713	2278	912
714	2280	908
715	2297	911
716	2300	908
717	2303	904
718	2305	900
719	2307	897
720	2309	893
721	2311	890
722	2313	886
723	2316	883
724	2318	879
725	2321	876
726	2323	872
727	2326	869
728	2328	865
729	2331	862
730	2334	859
731	2337	855
732	2339	852
733	2342	848
734	2345	845
735	2347	842
736	2350	838
737	2352	835
738	2354	831
739	2356	828
740	2359	824
741	2362	821
742	2364	817
743	2366	814
744	2369	811
745	2371	807
746	2374	804
747	2376	800
748	2379	797
749	2381	793
750	2383	790
751	2385	786
752	2388	783
753	2390	779
754	2392	776
755	2395	773
756	2397	769
757	2400	766
758	2402	762
759	2405	759
760	2407	756
761	2409	752
762	2412	749
763	2414	745
764	2417	742
765	2419	739
766	2421	735
767	2424	732
768	2426	728
769	2428	725
770	2430	721
771	2432	718
772	2435	715
773	2437	711
774	2440	708
775	2442	705
776	2445	701
777	2448	698
778	2450	695
779	2453	691
780	2455	688
781	2458	685
782	2460	681
783	2462	678
784	2465	675
785	2467	671
786	2470	668
787	2472	665
788	2474	661
789	2477	658
790	2480	655
791	2482	651
792	2484	648
793	2486	645
794	2488	641
795	2491	638
796	2494	635
797	2496	631
798	2498	628
799	2500	625
800	2503	621
801	2505	618
802	2508	615
803	2511	612
804	2513	608
805	2515	605
806	2517	602
807	2519	598
808	2522	595
809	2525	592
810	2527	589
811	2529	585
812	2532	582
813	2535	579
814	2537	576
815	2540	572
816	2543	569
817	2545	566
818	2547	563
